# Started logging at 2018-11-29T11:47:27.051759
time, face index, event
0, -1, wait
# Started logging at 2018-11-29T11:48:08.185427
# Started logging at 2018-11-29T11:48:08.185427
time, face index, event
time, face index, event
21, 26, delamination
22, 25, delamination
22, 25, delamination
22, 25, delamination
22, 12, delamination
22, 12, delamination
22, 12, delamination
22, 26, delamination
22, 26, delamination
22, 26, delamination
22, 167, delamination
22, 167, delamination
22, 167, delamination
22, 20, delamination
22, 20, delamination
22, 20, delamination
22, 10, delamination
22, 10, delamination
22, 10, delamination
22, 21, delamination
22, 21, delamination
22, 21, delamination
23, 167, delamination
23, 167, delamination
23, 167, delamination
23, 25, delamination
23, 25, delamination
23, 25, delamination
23, 21, delamination
23, 21, delamination
23, 21, delamination
23, 20, delamination
23, 20, delamination
23, 20, delamination
23, 12, delamination
23, 12, delamination
23, 12, delamination
24, 12, delamination
24, 12, delamination
24, 12, delamination
24, 25, delamination
24, 25, delamination
24, 25, delamination
24, 167, delamination
24, 167, delamination
24, 167, delamination
24, 21, delamination
24, 21, delamination
24, 21, delamination
24, 20, delamination
24, 20, delamination
24, 20, delamination
25, 20, delamination
25, 20, delamination
25, 20, delamination
25, 12, delamination
25, 12, delamination
25, 12, delamination
25, 167, delamination
25, 167, delamination
25, 167, delamination
25, 25, delamination
25, 25, delamination
25, 25, delamination
25, 21, delamination
25, 21, delamination
25, 21, delamination
26, 20, delamination
26, 20, delamination
26, 20, delamination
26, 12, delamination
26, 12, delamination
26, 12, delamination
27, 12, delamination
27, 12, delamination
27, 12, delamination
28, 12, delamination
28, 12, delamination
28, 12, delamination
29, 12, delamination
29, 12, delamination
29, 12, delamination
30, 12, delamination
30, 12, delamination
30, 12, delamination
31, 12, delamination
31, 12, delamination
31, 12, delamination
# Started logging at 2018-11-29T14:20:21.382475
# Started logging at 2018-11-29T14:20:21.382475
# Started logging at 2018-11-29T14:20:21.382475
# Started logging at 2018-11-29T14:20:21.382475
time, face index, event
time, face index, event
time, face index, event
time, face index, event
# Started logging at 2018-11-29T14:20:55.476929
# Started logging at 2018-11-29T14:20:55.476929
# Started logging at 2018-11-29T14:20:55.476929
# Started logging at 2018-11-29T14:20:55.476929
# Started logging at 2018-11-29T14:20:55.476929
time, face index, event
time, face index, event
time, face index, event
time, face index, event
time, face index, event
# Started logging at 2018-11-29T14:21:19.332004
# Started logging at 2018-11-29T14:21:19.332004
# Started logging at 2018-11-29T14:21:19.332004
# Started logging at 2018-11-29T14:21:19.332004
# Started logging at 2018-11-29T14:21:19.332004
# Started logging at 2018-11-29T14:21:19.332004
time, face index, event
time, face index, event
time, face index, event
time, face index, event
time, face index, event
time, face index, event
0, -1, wait
0, -1, wait
0, -1, wait
0, -1, wait
0, -1, wait
0, -1, wait
1, 103, with_face_lookup
1, 103, with_face_lookup
1, 103, with_face_lookup
1, 103, with_face_lookup
1, 103, with_face_lookup
1, 103, with_face_lookup
1, 10, with_face_lookup
1, 10, with_face_lookup
1, 10, with_face_lookup
1, 10, with_face_lookup
1, 10, with_face_lookup
1, 10, with_face_lookup
1, 21, with_face_lookup
1, 21, with_face_lookup
1, 21, with_face_lookup
1, 21, with_face_lookup
1, 21, with_face_lookup
1, 21, with_face_lookup
1, 145, with_face_lookup
1, 145, with_face_lookup
1, 145, with_face_lookup
1, 145, with_face_lookup
1, 145, with_face_lookup
1, 145, with_face_lookup
1, 146, with_face_lookup
1, 146, with_face_lookup
1, 146, with_face_lookup
1, 146, with_face_lookup
1, 146, with_face_lookup
1, 146, with_face_lookup
1, 83, with_face_lookup
1, 83, with_face_lookup
1, 83, with_face_lookup
1, 83, with_face_lookup
1, 83, with_face_lookup
1, 83, with_face_lookup
1, 102, with_face_lookup
1, 102, with_face_lookup
1, 102, with_face_lookup
1, 102, with_face_lookup
1, 102, with_face_lookup
1, 102, with_face_lookup
1, 22, with_face_lookup
1, 22, with_face_lookup
1, 22, with_face_lookup
1, 22, with_face_lookup
1, 22, with_face_lookup
1, 22, with_face_lookup
1, 40, with_face_lookup
1, 40, with_face_lookup
1, 40, with_face_lookup
1, 40, with_face_lookup
1, 40, with_face_lookup
1, 40, with_face_lookup
1, 12, with_face_lookup
1, 12, with_face_lookup
1, 12, with_face_lookup
1, 12, with_face_lookup
1, 12, with_face_lookup
1, 12, with_face_lookup
1, 147, with_face_lookup
1, 147, with_face_lookup
1, 147, with_face_lookup
1, 147, with_face_lookup
1, 147, with_face_lookup
1, 147, with_face_lookup
1, 24, with_face_lookup
1, 24, with_face_lookup
1, 24, with_face_lookup
1, 24, with_face_lookup
1, 24, with_face_lookup
1, 24, with_face_lookup
1, 26, with_face_lookup
1, 26, with_face_lookup
1, 26, with_face_lookup
1, 26, with_face_lookup
1, 26, with_face_lookup
1, 26, with_face_lookup
1, 20, with_face_lookup
1, 20, with_face_lookup
1, 20, with_face_lookup
1, 20, with_face_lookup
1, 20, with_face_lookup
1, 20, with_face_lookup
1, 25, with_face_lookup
1, 25, with_face_lookup
1, 25, with_face_lookup
1, 25, with_face_lookup
1, 25, with_face_lookup
1, 25, with_face_lookup
1, 167, with_face_lookup
1, 167, with_face_lookup
1, 167, with_face_lookup
1, 167, with_face_lookup
1, 167, with_face_lookup
1, 167, with_face_lookup
1, 2, with_face_lookup
1, 2, with_face_lookup
1, 2, with_face_lookup
1, 2, with_face_lookup
1, 2, with_face_lookup
1, 2, with_face_lookup
1, 11, with_face_lookup
1, 11, with_face_lookup
1, 11, with_face_lookup
1, 11, with_face_lookup
1, 11, with_face_lookup
1, 11, with_face_lookup
2, 83, with_face_lookup
2, 83, with_face_lookup
2, 83, with_face_lookup
2, 83, with_face_lookup
2, 83, with_face_lookup
2, 83, with_face_lookup
